id,paper_id
1001,1001
1002,1002
1003,1003
1004,1004
1005,1005
1006,1006
1007,1007
1008,1008
1009,1009
1010,1010
1011,1011
1013,1013
1014,1014
1015,1015
1016,1016
1017,1017
1018,1018
1019,1019
1020,1020
1021,1021
1022,1022
1023,1023
1024,1024
1025,1025
1026,1026
1027,1027
1028,1028
1029,1029
1030,1030
1031,1031
1032,1032
1033,1033
1034,1034
1035,1035
1037,1037
1038,1038
1039,1039
1040,1040
1041,1041
1042,1042
1043,1043
1044,1044
1045,1045
1046,1046
1047,1047
1048,1048
1049,1049
1050,1050
1051,1051
1052,1052
1053,1053
1054,1054
1055,1055
1056,1056
1057,1057
1058,1058
1059,1059
1060,1060
1061,1061
1062,1062
1063,1063
1064,1064
1065,1065
1066,1066
1067,1067
1068,1068
1069,1069
1070,1070
1071,1071
1072,1072
1073,1073
1074,1074
1075,1075
1076,1076
1077,1077
1078,1078
1079,1079
1080,1080
1081,1081
1082,1082
1083,1083
1084,1084
1085,1085
1086,1086
1087,1087
1088,1088
1089,1089
1090,1090
1092,1092
1093,1093
1094,1094
1095,1095
1096,1096
1097,1097
1098,1098
1099,1099
1100,1100
1101,1101
1102,1102
1103,1103
1104,1104
1105,1105
1106,1106
1107,1107
1108,1108
1109,1109
1110,1110
1111,1111
1112,1112
1113,1113
1114,1114
1115,1115
1117,1117
1118,1118
1119,1119
1120,1120
1121,1121
1122,1122
1123,1123
1124,1124
1125,1125
1126,1126
1127,1127
1128,1128
1129,1129
1130,1130
1131,1131
1132,1132
1133,1133
1134,1134
1135,1135
1136,1136
1137,1137
1138,1138
1139,1139
1140,1140
1141,1141
1142,1142
1143,1143
1145,1145
1146,1146
1147,1147
1148,1148
1149,1149
1150,1150
1151,1151
1152,1152
1153,1153
1154,1154
1155,1155
1156,1156
1157,1157
1158,1158
1159,1159
1160,1160
1161,1161
1162,1162
1163,1163
1164,1164
1165,1165
1166,1166
1167,1167
1168,1168
1169,1169
1170,1170
1171,1171
1172,1172
1173,1173
1174,1174
1175,1175
1176,1176
1177,1177
1178,1178
1179,1179
1180,1180
1181,1181
1182,1182
1183,1183
1184,1184
1185,1185
1186,1186
1187,1187
1188,1188
1189,1189
1190,1190
1191,1191
1192,1192
1193,1193
1194,1194
1195,1195
1196,1196
1197,1197
1198,1198
1199,1199
1200,1200
1201,1201
1202,1202
1203,1203
1204,1204
1205,1205
1206,1206
1207,1207
1208,1208
1209,1209
1210,1210
1211,1211
1212,1212
1213,1213
1214,1214
1215,1215
1216,1216
1218,1218
1219,1219
1220,1220
1221,1221
1222,1222
1223,1223
1224,1224
1225,1225
1226,1226
1227,1227
1229,1229
1230,1230
1231,1231
